Prompt,air_temperature,fault_detection,power_consumption,process_efficiency,process_temperature,rotational_speed,summary,system_load,tool_wear,torque
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
Give me the most recent power consumption data.,0,0,1,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What is the current air temperature?,1,0,0,0,0,0,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
What are the recent fluctuations in speed?,0,0,0,0,0,1,0,0,0,0
How fast is the system rotating?,0,0,0,0,0,1,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Fetch the latest value of process efficiency.,0,0,0,1,0,0,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
Can you fetch the latest values for process temperature and rotational speed?,0,0,0,0,1,1,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
How have air temperature and process temperature changed over time?,1,0,0,0,1,0,0,0,0,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
"Provide the latest log for system load, power consumption, and tool wear.",0,0,1,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
Give me the most recent data on tool wear and system load.,0,0,0,0,0,0,0,1,1,0
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
What is the latest recorded torque value?,0,0,0,0,0,0,0,0,0,1
